iter	Passed	Remaining
0	16	794
1	27	667
2	41	645
3	52	605
4	64	582
5	76	562
6	89	552
7	103	540
8	115	527
9	128	513
10	143	507
11	156	496
12	169	482
13	182	468
14	196	457
15	208	443
16	221	429
17	234	416
18	247	403
19	260	390
20	272	376
21	286	364
22	299	351
23	312	338
24	326	326
25	339	313
26	353	301
27	370	291
28	385	279
29	400	266
30	413	253
31	426	239
32	439	226
33	452	212
34	465	199
35	478	186
36	491	172
37	504	159
38	518	146
39	532	133
40	547	120
41	560	106
42	574	93
43	587	80
44	600	66
45	613	53
46	627	40
47	641	26
48	657	13
49	671	0
